"word","rating","sd","surveygroup","n","groupsize"
"heard",2.31034482758621,1.16813185030819,1,29,30
"forgotten",1.72413793103448,0.797162455397623,1,29,30
"couples",2.79310344827586,1.2643267645224,1,29,30
"idiot",2.27586206896552,1.36005650418697,1,29,30
"gray",1.51724137931034,0.911070393045314,1,29,30
"filter",1.41379310344828,0.732765864930867,1,29,30
"circumstances",3.10344827586207,1.75956219364377,1,29,30
"efforts",2.03448275862069,1.32241010012265,1,29,30
"fake",1.75862068965517,0.950758058971633,1,29,30
"doc",1.37931034482759,0.820008410385801,1,29,30
"method",2.06896551724138,1.06673850332814,1,29,30
"math",1.6551724137931,1.26140120696236,1,29,30
"periods",2.3448275862069,1.4460750343347,1,29,30
"combination",2.44827586206897,1.27015766446959,1,29,30
"focus",1.72413793103448,1.03152285911025,1,29,30
"though",3.62068965517241,1.76096144809444,1,29,30
"pine",1.75862068965517,0.98760794758248,1,29,30
"continues",2.41379310344828,1.47641557688377,1,29,30
"additional",2.86206896551724,1.55205251041126,1,29,30
"toy",1.62068965517241,1.23675246118466,1,29,30
"laughing",3.27586206896552,1.6452648880117,1,29,30
"jazz",1.53571428571429,1.03573709152049,1,28,30
"involvement",2.17857142857143,1.18801332542007,1,28,30
"involving",2.03448275862069,1.11748309736944,1,29,30
"proper",1.75,0.887151079037295,1,28,30
"recordings",2.20689655172414,1.49712367904086,1,29,30
"narrow",2.51724137931034,1.4298024252915,1,29,30
"thousands",2.64285714285714,1.39348446055166,1,28,30
"associated",3.32142857142857,1.58823385321141,1,28,30
"trash",1.78571428571429,1.22798066268835,1,28,30
"million",2.07142857142857,1.11980723964808,1,28,30
"specialist",3.17857142857143,1.33482059908665,1,28,30
"addressing",2.39285714285714,1.44886381320204,1,28,30
"bar",1.24137931034483,0.689470418602625,1,29,30
"evolution",2.6551724137931,1.42116305661861,1,29,30
"expect",2.03448275862069,1.29512157787516,1,29,30
"besides",2.06896551724138,1.30742479933315,1,29,30
"pray",1.75862068965517,1.24370335271585,1,29,30
"prime",1.82758620689655,1.07134646647643,1,29,30
"lost",1.3448275862069,0.76885174443849,1,29,30
"handle",2.10344827586207,1.20548827055403,1,29,30
"silent",2.10344827586207,1.31867973979948,1,29,30
"chances",2.51724137931034,1.57254774297663,1,29,30
"track",1.41379310344828,0.732765864930867,1,29,30
"element",1.86206896551724,0.953345160513175,1,29,30
"detect",1.58620689655172,0.824501640789771,1,29,30
"information",2.82758620689655,1.39050262025852,1,29,30
"requirements",3.51724137931034,1.52644988816657,1,29,30
"us",1.20689655172414,0.559292304411029,1,29,30
"entertainment",2.72413793103448,1.46132405040619,1,29,30
"dirty",1.62068965517241,0.941647230861517,1,29,30
"privacy",2.75862068965517,1.40547837341173,1,29,30
"historical",2,1,1,29,30
"penis",2.37931034482759,1.42462509111917,1,29,30
"punch",2.06896551724138,1.22273214222315,1,29,30
"speaker",2.13793103448276,1.12517103242874,1,29,30
"activities",2.25,1.43048813217597,1,28,30
"grave",2,1.33333333333333,1,28,30
"maybe",2.03448275862069,1.32241010012265,1,29,30
"additions",2.79310344827586,1.29226573850592,1,29,30
"liver",1.82758620689655,1.13606355195855,1,29,30
"lyrics",2.89655172413793,1.3717774597269,1,29,30
"actually",2.93103448275862,1.48639147128586,1,29,30
"unit",1.96551724137931,1.23874241011628,1,29,30
"defend",1.68965517241379,0.967450562629949,1,29,30
"chocolate",2.75862068965517,1.5272564667635,1,29,30
"tends",1.79310344827586,1.20650943826832,1,29,30
"visit",1.46428571428571,0.692934867183584,1,28,30
"evidence",2.24137931034483,1.15434497238518,1,29,30
"summary",1.92857142857143,1.05157981428901,1,28,30
"females",1.86206896551724,1.12517103242874,1,29,30
"difference",2.27586206896552,1.16178900605113,1,29,30
"unlimited",1.93103448275862,1.16284854936852,1,29,30
"constant",1.68965517241379,0.806378512498144,1,29,30
"secondary",2.03448275862069,1.08505294869782,1,29,30
"myth",3.03448275862069,1.74197668142277,1,29,30
"he'll",2.72413793103448,1.55601486689872,1,29,30
"elemental",1.96551724137931,1.14899827864752,1,29,30
"sand",1.68965517241379,1.00368778141491,1,29,30
"paper",1.72413793103448,1.03152285911026,1,29,30
"superman",1.96551724137931,1.26724556817109,1,29,30
"radio",1.89655172413793,1.1754885788534,1,29,30
"territory",2.37931034482759,1.44947756853112,1,29,30
"getting",1.82758620689655,1.13606355195855,1,29,30
"ball",1.44827586206897,0.869573249052649,1,29,30
"bothered",2.51724137931034,1.15327761665773,1,29,30
"pink",1.48275862068966,0.737790604012723,1,29,30
"compiler",2.6551724137931,1.23276292672092,1,29,30
"military",2.17857142857143,1.33482059908665,1,28,30
"than",2.03448275862069,1.37536381214701,1,29,30
"garden",1.55172413793103,0.685888729863448,1,29,30
"legitimate",3.51724137931034,1.61733223142248,1,29,30
"minor",2.10714285714286,1.34272486120949,1,28,30
"fresh",1.53571428571429,1.03573709152049,1,28,30
"own",2,1.25356634105602,1,29,30
"tips",1.17241379310345,0.539110743807494,1,29,30
"given",1.6551724137931,1.07822148761499,1,29,30
"ways",1.55172413793103,1.08845260073161,1,29,30
"east",2.13793103448276,1.21667397707951,1,29,30
"three",1.93103448275862,1.36096169996384,1,29,30
"turns",1.55172413793103,0.948163898450644,1,29,30
"linked",2.13793103448276,1.2456821978061,1,29,30
"pay",1.55172413793103,0.948163898450644,1,29,30
"construct",2.10344827586207,1.44777730100333,1,29,30
"movie",2.48275862068966,1.37894083720525,1,29,30
"personnel",2.48275862068966,1.57254774297663,1,29,30
"this",1.6551724137931,1.23276292672092,1,29,30
"serious",2.82758620689655,1.36457647844203,1,29,30
"stronger",2.17241379310345,1.19728757487323,1,29,30
"wrong",2.48148148148148,1.78391036275262,1,27,30
"slide",1.64285714285714,1.02611405453295,1,28,30
"am",1.41379310344828,0.824501640789771,1,29,30
"partners",1.96428571428571,1.03573709152049,1,28,30
"accounts",2.37931034482759,1.373571806419,1,29,30
"help",1.27586206896552,0.591399775601311,1,29,30
"the",2.06896551724138,1.30742479933315,1,29,30
"urge",2.85714285714286,1.6491139195267,1,28,30
"live",2.17241379310345,1.22675429829057,1,29,30
"mixed",1.86206896551724,1.09296902096454,1,29,30
"parking",1.82758620689655,1.03747514659531,1,29,30
"memories",2.37931034482759,1.2932183856965,1,29,30
"response",2.41379310344828,1.35005929444679,1,29,30
"someone",2.48275862068966,1.50287081602351,1,29,30
"phase",3.37931034482759,1.76096144809444,1,29,30
"absolute",2.44827586206897,1.59432491079525,1,29,30
"quarter",3,1.51185789203691,1,29,30
"blocks",1.62068965517241,0.862462964150937,1,29,30
"operations",2.85714285714286,1.53271208946963,1,28,30
"allowing",2.06896551724138,1.16284854936852,1,29,30
"strength",2.86206896551724,1.59741169957248,1,29,30
"occurred",2.37931034482759,1.34731990854459,1,29,30
"juice",3.03448275862069,1.49958943478087,1,29,30
"firearms",2.13793103448276,1.27403010535843,1,29,30
"killed",1.6551724137931,0.936401244467559,1,29,30
"they'd",2.75862068965517,1.6400168207716,1,29,30
"piece",3.13793103448276,1.35552145820172,1,29,30
"senior",2.82758620689655,1.39050262025852,1,29,30
"music",2.17241379310345,1.13606355195855,1,29,30
"foreign",4.07142857142857,1.60850911943377,1,28,30
"activity",1.89655172413793,1.29131238851374,1,29,30
"comparing",2.06896551724138,1.16284854936852,1,29,30
"participate",2.55172413793103,1.50205114276045,1,29,30
"plans",1.55172413793103,1.05513055714013,1,29,30
"parts",1.3448275862069,0.76885174443849,1,29,30
"committee",2.37931034482759,1.47391105332155,1,29,30
"idea",1.93103448275862,1.06673850332814,1,29,30
"notes",2.06896551724138,1.27981679723418,1,29,30
"exposed",2.24137931034483,1.32705830461301,1,29,30
"guide",2.72413793103448,1.48556270541641,1,29,30
"assumed",2.68965517241379,1.39138800883614,1,29,30
"requested",3.20689655172414,1.8201120519829,1,29,30
"maintain",2.42857142857143,1.61998105678388,1,28,30
"generate",2.93103448275862,1.62417087601113,1,29,30
"small",1.62068965517241,1.08278058400742,1,29,30
"percentage",3,1.43924583425785,1,29,30
"master",1.75,0.967049732529401,1,28,30
"tank",1.58620689655172,0.824501640789771,1,29,30
"compilation",3.20689655172414,1.78043554753219,1,29,30
"choices",3,1.64750894209583,1,29,30
"extremely",2.44827586206897,1.47808290161256,1,29,30
"helps",1.41379310344828,0.732765864930867,1,29,30
"supreme",2.82758620689655,1.58269583571019,1,29,30
"distribute",2.51724137931034,1.45456644633307,1,29,30
"months",2.17241379310345,1.33814812113184,1,29,30
"clip",1.37931034482759,0.727706431362473,1,29,30
"meter",2.17241379310345,1.19728757487323,1,29,30
"going",1.89655172413793,1.14470294294468,1,29,30
"explains",2.27586206896552,1.22172453418863,1,29,30
"assigned",3.75862068965517,1.68300692668537,1,29,30
"low",1.62068965517241,1.11527681072101,1,29,30
"speak",2,1.22474487139159,2,25,25
"coalition",3.16,1.24766448481419,2,25,25
"better",1.36,0.810349718742881,2,25,25
"computer",1.76,1.12842072532072,2,25,25
"definitions",2.6,1.47196014438797,2,25,25
"novel",1.56,1.04403065089106,2,25,25
"priest",2.84,1.21380943040221,2,25,25
"ups",1.2,0.577350269189626,2,25,25
"church",2.04,1.24096736459909,2,25,25
"chi",2.44,1.55670592384475,2,25,25
"rat",1.12,0.439696865275764,2,25,25
"cancer",2,1.04083299973307,2,25,25
"concrete",2.28,1.27540843131393,2,25,25
"adventures",2.08,1.44106442141449,2,25,25
"letter",1.12,0.439696865275764,2,25,25
"championship",2.48,1.19443152447793,2,25,25
"incorrect",1.56,1.08320512061813,2,25,25
"liquid",2.6,1.38443731048635,2,25,25
"agency",2.36,1.43990740443034,2,25,25
"humor",2.08,1.32035348802256,2,25,25
